ONE,TWO,THR,FOU,FIV,SIX,SEV,EIG,NIN,ASM,CON,ENG,IDM
101.5237236,100.5986723,159.1820747,24.17210438,58.4863057,60.53018783,34.61323523,63.28259473,67.75768283,0.044381872,2.295415088,3.773784987,0.757099059
111.8239426,92.57191051,168.5496173,32.56254903,54.65025822,64.45757784,43.93413984,59.37540268,71.22377126,0.042644883,2.77990846,3.846223195,0.749783359
110.4415049,108.190114,175.9988262,28.85800029,60.78402398,63.82772582,40.12421134,65.70250813,70.80260512,0.045148358,3.172585227,3.821079405,0.746218175
110.3444208,110.586411,179.2707544,28.0473075,63.40571032,64.72110125,39.37928729,68.41543437,71.57481752,0.048421962,3.226286301,3.77828594,0.75764825
109.4546145,105.9777758,180.5755504,29.77834075,63.59856579,64.21755774,41.1771799,68.63654843,71.14078264,0.049771863,3.451546717,3.794508457,0.746602951
108.5315657,106.5348011,179.5728575,30.99867545,64.47921663,65.13066929,42.49247361,69.50895649,72.02330872,0.053609275,3.487294823,3.741692831,0.753760453
111.4637488,98.95252328,173.9014362,31.1569066,58.92177219,65.6616149,42.62791143,63.30017122,72.2075082,0.044596625,2.748737374,3.78664766,0.764291647
110.6705137,99.33945904,181.8551038,31.39863712,62.40416905,65.80506911,42.53616935,66.85073545,72.7727591,0.052147974,2.937263258,3.731819248,0.766741292
113.5152995,85.95821496,154.3196911,29.98492069,52.22958982,59.15363157,41.26791184,56.86081545,65.36605352,0.054379376,1.995580808,3.613012442,0.77803182
113.9429155,88.0378196,157.5169369,30.33314092,53.93293714,59.93781968,41.48001693,58.22852643,66.26051582,0.05441911,2.153724747,3.632768538,0.775672121
104.5357481,93.16480232,159.6637567,23.05429328,56.34082416,55.67067072,33.20922159,60.89868111,62.08645091,0.049888649,2.531684028,3.736914662,0.754087814
105.1559639,103.7617681,169.0404336,17.5169941,53.11983444,56.52052122,26.62027592,58.90562282,64.28989889,0.047449145,2.616635101,3.729547377,0.752296691
112.1103121,93.02384193,173.918896,30.70228302,56.30835404,64.73892587,41.93038342,60.50459775,72.36582204,0.044374209,2.064591225,3.718478652,0.774260598
113.0445865,92.25073982,168.7431937,30.76244803,54.32364522,61.55791626,42.16765472,58.70575478,68.09758586,0.04772758,2.644333965,3.715842153,0.76841448
111.9031822,96.81075402,166.2865372,27.32536968,54.33514031,60.50555575,38.55000685,58.71792723,68.88771885,0.052241087,1.939946338,3.649053763,0.776181533
115.4154435,98.98694957,178.0821989,19.26713908,54.19950779,59.34052428,27.55725749,58.42243128,67.21628846,0.049970176,2.43817077,3.757178162,0.757608986
116.5226385,97.12725892,180.4969322,19.26676248,55.56425927,58.93702258,27.80474536,59.59795259,66.07907232,0.040827052,2.991043245,3.924000197,0.722282705
116.410541,98.65095289,179.3377427,18.95824714,56.30402953,58.91425458,27.34060478,60.27948004,65.95631701,0.045160006,3.02990846,3.869863094,0.733064722
113.3416982,91.0989682,138.1908243,26.82695736,49.43572056,56.86380692,37.90998096,54.33446377,63.85687677,0.071928437,2.073074495,3.422489821,0.783341094
112.6772708,97.3924203,177.1097104,28.74880636,57.2596664,63.15016436,40.05843675,61.38656028,69.83563385,0.045541225,2.358349116,3.747595143,0.76877038
113.9820372,90.94843947,164.4177715,29.01629192,50.82775284,62.09451408,40.14185457,55.69792415,68.65850267,0.049306386,2.309698548,3.668681927,0.769336909
